_id,Year,Month,Origin_Country,CustomsItem_2_Digits,CustomsItem_8_Digits,Exempt_CustomsItem,CustomsHouse,Quantity,Quantity_MeasurementUnitID,Quantity_MeasurementUnitName,TradeAgreementName,TermsOfSale,IsTradeAgreementWithQuota,NISCurrencyAmount,CurrencyCode,AutonomyTypeID,AutonomyType,GovernmentProcedureTypeName,GovernmentProcedureTypeEnglishName,IsPreferenceDocument,GeneralCustomsTax,PurchaseTax,VAT
1,2024,1,CN,29,29171900,,Ben Gurion Airport,1.000,6,Kilogram,,EXW,0,117.00,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,21.00
2,2024,1,CN,29,29181900,,Ben Gurion Airport,0.010,6,Kilogram,,EXW,0,194.83,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,33.00
3,2024,1,CN,29,29182900,,Ben Gurion Airport,0.001,6,Kilogram,,EXW,0,958.80,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,164.00
4,2024,1,CN,29,29189900,,Ben Gurion Airport,0.010,6,Kilogram,,EXW,0,398.07,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,82.00
5,2024,1,CN,29,29209090,-6120000000,Ben Gurion Airport,2.000,6,Kilogram,,FOB,0,7.54,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,0.00
6,2024,1,CN,29,29221900,,Ben Gurion Airport,1.000,6,Kilogram,,FCA,0,156.03,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,28.00
7,2024,1,CN,29,29224100,,Haifa,156400.000,6,Kilogram,,CIF,0,533220.06,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,92508.00
8,2024,1,CN,29,29224200,,Ben Gurion Airport,1.000,6,Kilogram,,CIP,0,79.16,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,20.00
9,2024,1,CN,29,29224900,,Ben Gurion Airport,0.005,6,Kilogram,,FCA,0,773.32,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,142.00
10,2024,1,CN,29,29225000,,Ben Gurion Airport,6.000,6,Kilogram,,EXW,0,1838.25,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,329.00
11,2024,1,CN,29,29225000,,Haifa,1350.000,6,Kilogram,,FOB,0,243035.17,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,42165.00
12,2024,1,BE,42,42021200,,Haifa,232.000,1,Each,EU,FOB,0,62883.00,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,11272.00
13,2024,1,BE,42,42029900,,Ben Gurion Airport,1.000,1,Each,,FOB,0,238.86,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,41.00
14,2024,1,BE,48,48051900,,Ashdod,122.636,6,Kilogram,EU,CFR,0,214581.05,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,37852.00
15,2024,1,BE,48,48102990,,Haifa,42141.000,6,Kilogram,EU,CFR,0,155805.15,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,26945.00
16,2024,1,BE,48,48114100,,Ashdod,336.000,6,Kilogram,EU,EXW,0,48083.76,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,8724.00
17,2024,1,BE,48,48149000,,Ben Gurion Airport,56.000,6,Kilogram,EU,EXW,0,11481.68,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,2125.00
18,2024,1,BE,48,48192000,,Ashdod,24.000,6,Kilogram,EU,EXW,0,388.73,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,71.00
19,2024,1,BE,48,48195000,,Ashdod,299.000,6,Kilogram,,EXW,0,24154.57,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,4836.00
20,2024,1,BE,48,48211000,,Ben Gurion Airport,2.000,6,Kilogram,,FOB,0,9.23,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,2.00
21,2024,1,BE,48,48239030,,Ashdod,140.000,6,Kilogram,,EXW,0,8558.13,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,1713.00
22,2024,1,BE,49,49019990,-6100000000,Ben Gurion Airport,1.000,6,Kilogram,,DDU,0,0.80,EUR,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,0.00
23,2024,1,BD,61,61034900,,Ashdod,42421.000,1,Each,,FOB,0,429304.84,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,74795.00
24,2024,1,BD,61,61034900,,Ben Gurion Airport,6.000,1,Each,,CIP,0,675.39,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,114.00
25,2024,1,BD,61,61044200,,Haifa,302.000,1,Each,,EXW,0,2103.96,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,574.00
26,2024,1,BD,61,61044300,,Ben Gurion Airport,1.000,1,Each,,EXW,0,103.52,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,19.00
27,2024,1,BD,61,61045200,,Ben Gurion Airport,1578.000,1,Each,,CIP,0,82735.41,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,14872.00
28,2024,1,BD,61,61045900,,Ben Gurion Airport,503.000,1,Each,,CIP,0,22604.78,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,4056.00
29,2024,1,BD,61,61046200,,Ashdod,414.000,1,Each,,EXW,0,66976.76,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,11082.00
30,2024,1,BD,61,61046300,,Haifa,2999.000,1,Each,,FCA,0,62806.85,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,11176.00
31,2024,1,BD,61,61046900,,Haifa,2.000,1,Each,,CIP,0,166.10,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,32.00
32,2024,1,BD,61,61052000,,Haifa,4.000,1,Each,,CIF,0,397.84,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,76.00
33,2024,1,BD,61,61061000,,Haifa,5067.000,1,Each,,CIF,0,137384.67,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,25766.00
34,2024,1,BD,61,61062000,,Ben Gurion Airport,226.000,1,Each,,CIF,0,9440.93,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,1787.00
35,2024,1,CN,29,29225000,,Haifa,79000.000,6,Kilogram,,CIF,0,283103.27,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,49219.00
36,2024,1,CN,29,29231000,,Ben Gurion Airport,4.000,6,Kilogram,,EXW,0,656.55,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,120.00
37,2024,1,CN,29,29242990,,Ben Gurion Airport,0.005,6,Kilogram,,EXW,0,752.31,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,135.00
38,2024,1,CN,29,29242990,,Ben Gurion Airport,0.050,6,Kilogram,,EXW,0,1577.27,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,271.00
39,2024,1,CN,29,29252900,,Haifa,1300.000,6,Kilogram,,FOB,0,80557.48,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,14816.00
40,2024,1,CN,29,29309000,,Ben Gurion Airport,47.000,6,Kilogram,,CIP,0,45583.78,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,7877.00
41,2024,1,CN,29,29309000,,Haifa,5000.000,6,Kilogram,,CFR,0,91416.56,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,15759.00
42,2024,1,CN,29,29315990,,Ben Gurion Airport,5.000,6,Kilogram,,DAP,0,91.86,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,47.00
43,2024,1,CN,29,29319090,,Ben Gurion Airport,1.000,6,Kilogram,,CIF,0,29.39,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,5.00
44,2024,1,CN,29,29321900,,Ben Gurion Airport,0.025,6,Kilogram,,EXW,0,115.23,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,24.00
45,2024,1,CN,29,29321900,,Ben Gurion Airport,4.000,6,Kilogram,,EXW,0,1092.15,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,204.00
46,2024,1,BE,85,85129090,,Ben Gurion Airport,4.000,1,Each,,EXW,0,727.49,JPY,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,148.00
47,2024,1,CN,39,39191020,,Haifa,110.000,6,Kilogram,,CFR,0,1126.40,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,209.00
48,2024,1,CN,39,39191049,,Ashdod,151.300,6,Kilogram,,CIF,0,1195.93,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,246.00
49,2024,1,CN,39,39191049,,Ashdod,28.720,6,Kilogram,,EXW,0,2370.27,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,536.00
50,2024,1,CN,39,39191049,,Ashdod,4822.000,6,Kilogram,,CFR,0,14833.70,USD,1,Judea and Samaria,יבוא מסחרי-אוטונומיה,CommercialImportAutonomy,0,0.00,0.00,2481.00
51,2024,1,CN,39,39191049,,Ben Gurion Airport,1.000,6,Kilogram,,DDU,0,36.74,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,6.00
52,2024,1,CN,39,39191049,,Haifa,108.000,6,Kilogram,,FCA,0,972.24,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,171.00
53,2024,1,CN,39,39191090,,Ashdod,24.000,6,Kilogram,,FOB,0,2781.31,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,485.00
54,2024,1,CN,39,39191090,,Ben Gurion Airport,1.000,6,Kilogram,,DDP,0,473.20,ILS,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,80.00
55,2024,1,CN,39,39191090,,Haifa,50.000,6,Kilogram,,EXW,0,625.78,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,119.00
56,2024,1,CN,39,39199069,,Ashdod,8.000,6,Kilogram,,EXW,0,1061.45,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,233.00
57,2024,1,CN,39,39199090,,Ashdod,100.000,6,Kilogram,,FOB,0,0.04,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,0.00
58,2024,1,CN,39,39199090,,Ben Gurion Airport,1.000,6,Kilogram,,CFR,0,52.45,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,9.00
59,2024,1,CN,39,39199090,,Ben Gurion Airport,1.000,6,Kilogram,,CPT,0,1494.91,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,254.00
60,2024,1,CN,39,39199090,,Ben Gurion Airport,1001.245,6,Kilogram,,FOB,0,18630.30,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,4725.00
61,2024,1,CN,39,39199090,,Ben Gurion Airport,13.000,6,Kilogram,,DAP,0,189.79,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,32.00
62,2024,1,CN,39,39199090,,Ben Gurion Airport,5.000,6,Kilogram,,EXW,0,324.94,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,65.00
63,2024,1,CN,39,39201000,,Ashdod,75936.733,6,Kilogram,,FOB,0,440710.56,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,82749.00
64,2024,1,CN,39,39202000,,Ben Gurion Airport,24.000,6,Kilogram,,FOB,0,364.51,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,150.00
65,2024,1,CN,39,39205190,,Ashdod,26250.330,6,Kilogram,,FOB,0,228734.39,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,41118.00
66,2024,1,CN,39,39205190,,Ashdod,696.000,6,Kilogram,,CIF,0,165930.37,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,29583.00
67,2024,1,CN,39,39205990,,Ben Gurion Airport,172.000,6,Kilogram,,FOB,0,5827.55,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,2267.00
68,2024,1,BG,61,61102000,,Ben Gurion Airport,423.000,1,Each,EU,CIP,0,42582.71,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,7808.00
69,2024,1,BG,61,61102000,,Haifa,670.000,1,Each,EU,CIP,0,67759.28,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,12876.00
70,2024,1,BG,62,62031100,,Ashdod,27.000,1,Each,,FCA,0,29769.23,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,5116.00
71,2024,1,BG,62,62043300,,Ashdod,8.000,1,Each,,FCA,0,6566.07,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,1128.00
72,2024,1,BG,62,62043300,,Ben Gurion Airport,5.000,1,Each,EU,FCA,0,3072.81,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,510.00
73,2024,1,BG,62,62046900,,Ashdod,12.000,1,Each,,FCA,0,5562.87,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,956.00
74,2024,1,BG,62,62046900,,Ben Gurion Airport,6.000,1,Each,EU,FCA,0,1754.95,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,292.00
75,2024,1,BG,62,62114990,-6120000000,Ben Gurion Airport,1.000,1,Each,,DDU,0,41.47,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,0.00
76,2024,1,CN,42,42029200,,Ben Gurion Airport,101.000,6,Kilogram,,FCA,0,20780.00,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,3870.00
77,2024,1,CN,42,42029200,,Ben Gurion Airport,1942.000,6,Kilogram,,CFR,0,25509.64,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,5636.00
78,2024,1,CN,42,42029200,,Ben Gurion Airport,387.000,6,Kilogram,,EXW,0,20744.30,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,4511.00
79,2024,1,CN,42,42029200,,Ben Gurion Airport,96.000,6,Kilogram,,FCA,0,10992.84,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,2323.00
80,2024,1,CN,42,42029200,,Center,12.000,6,Kilogram,,DDP,0,1215.00,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,258.00
81,2024,1,CN,42,42029200,,Haifa,1202.000,6,Kilogram,,CFR,0,102747.95,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,18775.00
82,2024,1,CN,42,42029200,,Haifa,1990.000,6,Kilogram,,CPT,0,52276.85,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,8886.00
83,2024,1,CN,42,42029200,,Haifa,50074.750,6,Kilogram,,FOB,0,527775.91,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,96038.00
84,2024,1,CN,42,42029200,-6120000000,Ben Gurion Airport,7.000,6,Kilogram,,DAT,0,29.39,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,0.00
85,2024,1,CN,42,42029900,,Ashdod,1.000,1,Each,,CFR,0,55.58,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,9.00
86,2024,1,CN,42,42029900,,Ashdod,4.000,1,Each,,FCA,0,1069.59,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,197.00
87,2024,1,CN,42,42029900,,Ben Gurion Airport,1.000,1,Each,,FCA,0,143.78,GBP,,Israel,יבוא אישי,HomeUseImport,0,0.00,0.00,26.00
88,2024,1,CN,42,42029900,,Ben Gurion Airport,163.000,1,Each,,CIP,0,5689.83,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,1069.00
89,2024,1,CN,42,42029900,,Ben Gurion Airport,2.000,1,Each,,DDP,0,414.28,EUR,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,79.00
90,2024,1,BG,84,84133010,,Ben Gurion Airport,1.000,1,Each,EU,FCA,0,542.36,USD,,Israel,יבוא מסחרי,CommercialImport,1,0.00,111.00,117.00
91,2024,1,BG,84,84212300,,Ashdod,5.000,1,Each,EU,FOB,0,196.42,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,39.00,41.00
92,2024,1,BG,84,84212910,,Ashdod,20.000,1,Each,EU,CIF,0,229.23,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,45.00,48.00
93,2024,1,BG,84,84661090,,Ben Gurion Airport,2.000,6,Kilogram,EU,DDU,0,2266.66,USD,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,396.00
94,2024,1,BG,84,84669100,,Ben Gurion Airport,5.600,6,Kilogram,,DDU,0,1780.96,EUR,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,391.00
95,2024,1,BG,84,84818099,,Haifa,18.000,6,Kilogram,EU,EXW,0,10124.10,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,2226.00
96,2024,1,BG,84,84821000,,Ashdod,2.000,1,Each,,CFR,0,106.11,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,19.00
97,2024,1,BG,85,85094000,,Haifa,188.000,1,Each,,EXW,0,341143.25,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,58870.00
98,2024,1,BG,85,85122090,,Ashdod,1.000,1,Each,EU,CFR,0,380.83,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,65.00
99,2024,1,BG,85,85122090,,Ashdod,1.000,1,Each,EU,CFR,0,388.05,EUR,1,Judea and Samaria,יבוא מסחרי-אוטונומיה,CommercialImportAutonomy,1,0.00,0.00,63.00
100,2024,1,BG,85,85176290,,Ben Gurion Airport,40.000,1,Each,,FOB,0,2382.40,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0.00,0.00,448.00
